Layer,Name,GEOID,Population,HCSOBP_2023-2024,HCSHYTP_2023-2024,HCSDIAP_2023-2024,HCSATHP_2023-2024,CCR_2017-2021,VRLE_2023
(Indicator name),,,,"Adult obesity rate (% of adults), 2023-2024","Hypertension rate (% of adults), 2023-2024","Adult diabetes rate (% of adults), 2023-2024","Adult asthma rate (% of adults), 2023-2024","Cancer diagnosis rate (per 100,000 population), 2017-2021","Life expectancy (years), 2023"
(Definition),,,,"Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high, pre-hypertensive or hypertension diagnosed only during pregnancy).","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.","Annual diagnosis rate for all invasive cancers. Does not include pre-cancerous diagnoses such as breast cancer in situ or urinary cancer in situ. All ages, risk-adjusted.","The average number of years a person may expect to live."
(Citation),,,,"Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Illinois Department of Public Health, Illinois State Cancer Registry (Calculated by Metopio)","Illinois Department of Public Health, Death Certificate Data Files"
---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,55454,29.621429724,29.22630899,9.8117570164,8.6977029395,490.8618391620737,77.29515555
Community area,Norwood Park,10,41069,22.483415622,37.225356184,18.547609548,8.4420137744,553.8257441113141,82.64341004
Community area,Jefferson Park,11,26201,29.114070578,27.840770422,15.319060187,,548.2148846595443,80.28693648
Community area,Forest Glen,12,19579,23.222620709,42.536637517,9.6872780549,10.185759312,561.0685878699863,82.39595435
Community area,North Park,13,17522,27.881574183,45.934451848,17.796202994,6.4878012916,514.4678573553365,81.12446441
Community area,Albany Park,14,48549,29.571025639,24.838327881,19.044144132,16.048566167,449.1820730698352,80.71656419
Community area,Portage Park,15,63038,46.674159207,37.389612954,12.996586823,7.6146497707,525.4287690334429,80.16717719
Community area,Irving Park,16,51911,29.290471157,32.58162971,7.4838888764,9.8254642079,488.3144854750513,81.29441083
Community area,Dunning,17,43120,36.964782465,40.385533743,25.882972086,5.2913554449,527.2969181215659,80.13487151
Community area,Montclare,18,14412,46.652645265,39.257072825,15.201223053,,504.4967592394498,81.17379197
Community area,Belmont Cragin,19,78151,43.60875636,29.24014098,15.070946003,10.803313563,450.0896403181099,80.18447108
Community area,West Ridge,2,77139,35.077570304,32.895389396,11.502965998,6.9158994154,481.504632072039,80.90426387
Community area,Hermosa,20,24127,32.556876526,30.824558447,19.869913658,21.956990843,381.9515137065074,80.40595537
Community area,Avondale,21,36245,30.338386336,24.270268037,3.7292693976,15.204180087,452.7521481544709,81.0927751
Community area,Logan Square,22,71742,13.048482956,26.416264855,5.373363048,9.7422015722,397.9525736643594,81.40234493
Community area,Humboldt Park,23,53832,47.693013238,35.307010609,17.887949417,9.443521607,431.023590784636,75.41444439
Community area,West Town,24,87942,18.513276843,23.518420758,4.1835008507,9.8577105316,459.29056963934187,81.43207779
Community area,Austin,25,96753,49.353446523,36.920544118,21.794625908,17.123345929,593.0128265762489,71.70767742
Community area,West Garfield Park,26,17423,40.106835175,38.521496596,24.456588726,17.122461536,542.5920018920301,66.57828879
Community area,East Garfield Park,27,19995,46.106828415,28.288812907,24.721802725,8.6614012871,584.8607599738165,69.75663662
Community area,Near West Side,28,67817,22.150837704,25.934483947,5.3588062181,7.7430808803,532.4768725111425,78.32786612
Community area,North Lawndale,29,34817,47.402279104,39.503613189,23.260440946,23.037848378,609.5395693462123,67.87316785
Community area,Uptown,3,55120,25.744233722,39.197358613,9.0204215497,11.458135702,550.8750576635509,77.44787098
Community area,South Lawndale,30,71402,43.527834189,19.815571359,15.179846242,8.8472528816,342.6577814603731,80.28364816
Community area,Lower West Side,31,33716,28.67572083,28.233865636,11.438964172,4.6107981307,431.9868551728739,81.95800271
Community area,Loop,32,43440,14.588783511,21.253443443,,7.9985024041,459.3244998442541,87.30128578
Community area,Near South Side,33,27296,18.128723566,29.276776933,4.5025075497,9.1717040742,542.9984546258571,79.85934054
Community area,Armour Square,34,13847,13.012542201,32.559281027,16.881571986,4.3661972189,483.8359889418697,82.48000952
Community area,Douglas,35,20292,35.693730837,29.730404591,16.506469604,8.0716716694,617.1505975194909,73.19364251
Community area,Oakland,36,6803,45.244557652,44.753557892,13.98803702,17.736992053,597.8497547234566,71.96529488
Community area,Fuller Park,37,2549,42.774727617,41.938295395,16.329615475,18.832887658,659.4536483,66.81783276
Community area,Grand Boulevard,38,24586,48.599263157,49.777871021,17.372023771,3.0696227735,579.7339677,72.52033455
Community area,Kenwood,39,19126,25.05301611,39.198142373,8.4188798204,16.192912489,552.2494835538517,77.77574746
Community area,Lincoln Square,4,40412,25.41121372,23.402393524,7.6242876629,4.598168014,502.7672303367602,80.23220153
Community area,Washington Park,40,12709,50.632652993,31.468838969,10.688913762,15.874117805,508.6081160317994,72.47944347
Community area,Hyde Park,41,29459,22.387003664,23.330903213,,10.465641471,534.6854589946009,82.5661651
Community area,Woodlawn,42,25285,34.884354299,31.220956897,15.742443699,16.190477609,556.9166871,73.18639805
Community area,South Shore,43,51919,35.944791906,40.619611612,15.900645095,16.091411572,590.8947964739605,70.13917167
Community area,Chatham,44,31804,43.259257819,45.417409876,14.234696713,18.542544187,577.9599423731914,70.82605459
Community area,Avalon Park,45,9359,44.040597905,39.546465223,10.318307945,9.2711028321,643.6917329712576,72.20862598
Community area,South Chicago,46,27254,42.859149221,33.728516132,15.302368492,14.592539095,574.9095472,71.64129315
Community area,Burnside,47,2514,41.879526504,39.10897549,29.968941892,7.7386979813,452.52494068984896,66.83058566
Community area,Calumet Heights,48,13085,50.840534115,51.420035682,28.419234614,9.0733070785,605.5464106991826,73.22422874
Community area,Roseland,49,38934,58.040328066,45.60474716,20.113395153,15.248619136,619.2213571037116,70.45173342
Community area,North Center,5,35150,18.767149805,25.749241294,,9.607697218,544.4345944191679,84.67435326
Community area,Pullman,50,6866,56.35027051,38.908351108,10.562662377,27.184051209,578.1186707222424,74.8722617
Community area,South Deering,51,14125,51.213260654,50.004429764,27.65118764,10.686501583,660.3968671107906,72.04272378
Community area,East Side,52,21787,43.512201026,31.441791001,18.538604304,15.962317946,461.7798380837158,77.64784485
Community area,West Pullman,53,25940,49.639178347,42.779286499,19.373197936,10.277751252,597.935877,69.9737397
Community area,Riverdale,54,7229,45.815165013,27.816018835,17.636360877,9.2981012098,652.2100315046689,75.58299145
Community area,Hegewisch,55,9884,45.458878104,42.155083447,18.418021784,13.260439424,558.8807095382731,81.65396423
Community area,Garfield Ridge,56,35352,38.678188906,33.056576935,20.123960709,8.175405581,549.8338560395908,78.55299146
Community area,Archer Heights,57,14282,38.649054624,16.459520909,13.427178795,3.0452808951,380.6582532889777,78.72455978
Community area,Brighton Park,58,45141,44.244234848,31.235730119,18.080115293,10.80629342,351.1356852467107,81.56287185
Community area,McKinley Park,59,15927,26.920660519,33.830006527,15.241784994,11.568131869,447.8999034214452,78.18152367
Community area,Lake View,6,103048,23.662534952,19.942353749,6.3330133325,14.725382788,518.0057595257789,83.03115824
Community area,Bridgeport,60,33593,27.651663196,33.129765125,11.773170003,4.6284229815,486.023429289839,81.29897284
Community area,New City,61,43510,35.781860889,24.538158966,18.045982329,7.6293017682,490.7851701617831,75.56000219
Community area,West Elsdon,62,18249,46.071868099,33.48025222,12.144665031,8.9208083854,421.60124326134047,79.31467081
Community area,Gage Park,63,39439,46.462690562,35.165014801,29.628086439,,339.9888297252861,82.87251497
Community area,Clearing,64,24519,39.717986423,37.865450729,16.110785818,3.9669812186,520.7314441402503,79.44959537
Community area,West Lawn,65,33543,44.867164885,33.917857398,23.409774705,,416.5394586220777,80.39168001
Community area,Chicago Lawn,66,55789,50.835616908,37.379556665,18.973563692,8.4465283899,459.8699987236003,75.68339525
Community area,West Englewood,67,29899,47.737702919,38.666743404,22.405431084,15.414360161,619.5730145002658,68.63104345
Community area,Englewood,68,24322,37.721238026,37.103099434,21.350990865,21.998528191,628.9977305040871,67.65982022
Community area,Greater Grand Crossing,69,31543,46.850848479,37.501428271,18.911142758,22.432928732,595.7406168625239,71.6763893
Community area,Lincoln Park,7,70425,25.050156153,20.215178765,3.415143839,8.8124248579,543.7495498913786,83.27656584
Community area,Ashburn,70,41280,51.36309709,39.442682204,14.923888452,9.3605202292,561.0771017785636,77.58704942
Community area,Auburn Gresham,71,44959,45.10353378,45.853974578,19.402436012,13.465730817,634.2535696539178,71.2228777
Community area,Beverly,72,19950,32.994189477,36.933018042,7.5354731027,11.741346776,598.7426840958105,80.56583869
Community area,Washington Heights,73,25075,46.916430176,42.790210572,13.71989202,16.2313442,647.9079695043051,72.15021166
Community area,Mount Greenwood,74,18633,37.181379584,49.918267754,12.127831667,14.733936134,644.9786299997864,79.75868256
Community area,Morgan Park,75,21714,46.452187374,45.979713093,16.800136731,9.0318460607,602.9214074820703,75.52447179
Community area,O'Hare,76,14416,32.327786112,21.933873358,4.7660333837,,472.6944608443366,83.83781222
Community area,Edgewater,77,56308,31.210377675,29.80974067,13.649501703,8.4760934699,485.89228707525245,80.68201483
Community area,Near North Side,8,97789,12.525588374,22.684348187,3.8574535548,5.8118584924,588.0217012784975,84.78667116
Community area,Edison Park,9,11521,23.161109521,37.894593075,11.858101951,9.1063832255,630.4737438451336,80.46780575
